indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0008317247471260652,0.0008327055985576165,0.0008701168458309337,0.000988003652825084,0.0010196167494928453,0.0010164018018790856,0.0009850734729073176,0.001023533039861015,0.0010029524841119917,0.0008710200270617529,-3.929527993568782e-05
winRateDaily,0.5541896638233819,0.5647265429001506,0.569493226292022,0.5642247867536377,0.5709984947315605,0.5669844455594582,0.5627195183140994,0.5592072252885097,0.5579528349222278,0.5524335173105871,0.4964877069744104
PLRatioDaily,0.9095544878486583,0.8694913562002726,0.8527749366710308,0.8812557858386557,0.8577428433728304,0.8685266559427811,0.8765576232709386,0.8900620364916187,0.8877978505317553,0.8879820013082161,1.0046653803665127
targetRet,0.1713693333130637,0.16582590695966637,0.17172382368840355,0.20265955650134182,0.20924622317724206,0.20466036230043483,0.19107764126504923,0.1984617749648212,0.18582393262230545,0.13539377405054265,-0.02923619258227672
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.04408883680623532,0.03854541045283799,0.044443327181575176,0.07537905999451344,0.08196572667041369,0.07737986579360645,0.06379714475822085,0.07118127845799282,0.05854343611547708,0.00811327754371427,-0.1565166890891051
sigma,0.31391506637047223,0.32856475402222807,0.3412582193854013,0.35108575689274046,0.35784154847555616,0.36600228257529066,0.3752908237006056,0.3844121778537758,0.3982979625392197,0.42357246045228786,0.1995131691641172
sharpeRatio,0.5459098707636392,0.5046977952737071,0.5032078758357073,0.5772366224564784,0.5847454664464026,0.5591778304233225,0.5091455191493958,0.5162733815376496,0.46654502432712724,0.31964725446496234,-0.1465376581644461
informationRatio,0.3792155895347246,0.4037935274851083,0.49398062926772274,0.874290588402162,1.008695886894379,0.9408177458088114,0.7534801591664325,0.7840475364663043,0.5693531641067469,0.05702768594739738,-0.33129105817464055
maxDrawDown,0.757737159921509,0.6730950187019147,0.7008830540848846,0.6813373377175501,0.6999930811860371,0.7255864844981958,0.7215972535655035,0.7175672625766363,0.7452781458134001,0.7595381599362108,0.7759143026673399
meanRetMonthly,0.01992226704577462,0.01712419075668392,0.01782767020062597,0.019986638700211844,0.02077007546734588,0.020637733418402564,0.019817802550298226,0.020309246760948228,0.019756043169332858,0.01624420758004985,-2.1044813231397293e-05
winRateMonthly,0.5279187817258884,0.5736040609137056,0.5685279187817259,0.5583756345177665,0.5532994923857868,0.5685279187817259,0.5380710659898477,0.5685279187817259,0.5532994923857868,0.5786802030456852,0.4467005076142132
PLRatioMonthly,1.4374885238231514,1.1960629034711385,1.231186670608071,1.3503968481406863,1.3816294842501833,1.2865425011799358,1.4128179757065888,1.2632683356043033,1.3131613026048734,1.079931521196663,1.2375324232207177
meanTurnoverRate,0.7487593647056147,0.8372356632364567,0.8638270434088956,0.8753356125694407,0.881236654339827,0.8825208544604694,0.8794593395965714,0.8687924592953655,0.8406407485135239,0.7172540267286358,0.0
