indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0007827931100422876,0.0008210373019638014,0.000835206582587748,0.0009246978211887041,0.0009498573002924241,0.0009273561482725477,0.0009813486419561397,0.0010542238750155778,0.0010669470828052474,0.0010987782007453207,-0.00031598509070303267
winRateDaily,0.5577019568489714,0.562468640240843,0.5627195183140994,0.564977420973407,0.5664826894129453,0.5679879578524837,0.5632212744606121,0.5622177621675866,0.5602107375815354,0.5566984445559459,0.47867536377320624
PLRatioDaily,0.8914195584040885,0.8786552134450888,0.8742661864413096,0.871912105818025,0.8659591098874291,0.854928507917683,0.8740210764130495,0.881206853986662,0.8850420141849648,0.8930118603409694,1.0092916213277876
targetRet,0.1587912112277574,0.16687793045644606,0.1652437438571357,0.18565596806817797,0.18861126465995026,0.17775218721769837,0.18910447750391346,0.20533511213815747,0.20238499495292905,0.19845423279955177,-0.09134637784720023
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.031510714720929034,0.03959743394961768,0.037963247350307316,0.05837547156134959,0.061330768153121884,0.05047169071086999,0.06182398099708508,0.0780546156313291,0.07510449844610068,0.07117373629272339,-0.2186268743540286
sigma,0.30906557176489796,0.3172027156420215,0.33221101442396594,0.3467296447343672,0.35719751931560434,0.3668342810480425,0.3772958796582297,0.3892114935602565,0.4033805413398733,0.43005802657794145,0.183288269689952
sharpeRatio,0.5137783879355794,0.5260923763489334,0.49740597596879343,0.5354487880908214,0.5280307237892699,0.48455718672164944,0.5012100256043405,0.5275669283552854,0.50172225531922,0.4614591997705337,-0.4983754716093974
informationRatio,0.28814289323440256,0.4770535433016367,0.49646365170903506,0.769970642747549,0.7875903306168612,0.6134709214528358,0.6964822920553642,0.8068959105920043,0.6734707388899477,0.5000037015257065,-0.4619640398318279
maxDrawDown,0.7962657316323528,0.713390920871075,0.7457917211459786,0.7116946388122953,0.7238016224455992,0.7177763735043738,0.7115272061692923,0.7082073804980371,0.7123792916536369,0.7184002784380654,0.8344711807187146
meanRetMonthly,0.017922395208096086,0.016983348866943415,0.01698808378681822,0.018719421519331328,0.019267264132764757,0.01875767956546677,0.019699776357281325,0.02110850622761755,0.021120751368679955,0.021644757971361617,-0.0059517612263076105
winRateMonthly,0.5634517766497462,0.5685279187817259,0.583756345177665,0.5685279187817259,0.5786802030456852,0.5685279187817259,0.5736040609137056,0.5634517766497462,0.5634517766497462,0.5380710659898477,0.45685279187817257
PLRatioMonthly,1.226678326749831,1.2391650897984954,1.1545067987088093,1.2632777898088097,1.213723321392442,1.228494357359889,1.2228340428486746,1.3005848142703045,1.2856578932115383,1.3904804793344323,0.9074966522306748
meanTurnoverRate,0.0422100823119075,0.08309245361671465,0.11897381751100339,0.14543223900223584,0.16112434319791374,0.1686061767746742,0.16664775692340122,0.15146610420962925,0.11987750271153752,0.05551630495408784,0.0
