indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0009759635970797908,0.0010570931808710474,0.0009902615857143712,0.001005642278738394,0.001007913359548991,0.0009752589920655186,0.0009651574193277814,0.0008925291962806659,0.0007612178576413509,0.0008091586429228618,0.0001668049541569289
winRateDaily,0.5539387857501255,0.557451078775715,0.559959859508279,0.5622177621675866,0.5664826894129453,0.564977420973407,0.572002007024586,0.5687405920722529,0.5602107375815354,0.5534370296036126,0.5097842448569995
PLRatioDaily,0.8916846241087971,0.8943374101860716,0.8830361006570907,0.8800836114059526,0.8688225169995926,0.8738710112476495,0.8516818855755895,0.8588545074411467,0.877595299767945,0.911865295279554,0.9975243343506635
targetRet,0.16367954585392996,0.20038030514634153,0.1873175850799771,0.1963198686783274,0.20158317744492416,0.1959156950168932,0.19601995262846073,0.1799357350668489,0.14688035799234722,0.16726483468088937,0.02169379008021255
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.036399049347101586,0.07309980863951315,0.06003708857314871,0.06903937217149902,0.07430268093809578,0.06863519851006483,0.06873945612163235,0.05265523856002052,0.019599861485518844,0.039984338174060996,-0.10558670642661583
sigma,0.4273120958736443,0.4014523976534881,0.38683163417606375,0.37721036597488733,0.36707030949084773,0.35784650082526553,0.3508055688172655,0.3373368779215678,0.3244173814945774,0.30709967657524484,0.2007960584223223
sharpeRatio,0.38304449472530216,0.499138394284293,0.48423543611927244,0.5204519450862528,0.5491677540592541,0.5474852892652924,0.5587709262693246,0.5334007244493579,0.45275119759513355,0.544659755250203,0.1080389239244194
informationRatio,0.24733079427846166,0.6788701302753518,0.6464191924557922,0.7974052196513248,0.9209628893431341,0.8617453519597215,0.7970289622384166,0.6224453566458384,0.2093178642056413,0.35190825458815717,-0.3989864733570357
maxDrawDown,0.7607372197662935,0.7450119891717439,0.7416561063544793,0.7124094190222018,0.7141326578115381,0.705972565502855,0.6841289556539392,0.6891476508696699,0.6761616523547427,0.7586833165358957,0.6927117055649641
meanRetMonthly,0.018735844543953283,0.02097556436380469,0.019736647389923246,0.02014975348157263,0.020472169664093088,0.01983538157206087,0.0195311784668429,0.01816320521734122,0.015614914140981765,0.019241646579985682,0.0038477682545105967
winRateMonthly,0.5634517766497462,0.5634517766497462,0.5634517766497462,0.5634517766497462,0.5736040609137056,0.5634517766497462,0.5736040609137056,0.5685279187817259,0.5634517766497462,0.5329949238578681,0.5380710659898477
PLRatioMonthly,1.2059975605083544,1.2829108012696697,1.2644092772386115,1.2840108470720435,1.2534594613292274,1.2934598092406653,1.2611965431734757,1.2555563557391676,1.205749863181819,1.4112387414209973,1.0171769910304416
meanTurnoverRate,0.7196758254731052,0.8392071548179943,0.8675575444964921,0.8788536443733189,0.8819218007805079,0.8806456153311008,0.8743767897598008,0.862009996363635,0.8331061245133954,0.7362743947251542,0.0
