indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0005450850665322363,0.0010782317671498378,0.001077451466128258,0.0010606771028127571,0.0010387547202678797,0.0010286040044861057,0.0010498836513517995,0.0010160903336426882,0.000930692262048164,0.0006147178228305664,-6.963275629833009e-05
winRateDaily,0.5526843953838435,0.5687405920722529,0.5709984947315605,0.5684897139989965,0.5679879578524837,0.5634721525338685,0.562468640240843,0.5642247867536377,0.5647265429001506,0.5514300050175615,0.48896136477671853
PLRatioDaily,0.8720639843588248,0.8786362307928643,0.8689568974728025,0.8743348676942875,0.871000210958649,0.8832057424913623,0.8869842015474289,0.87412084003876,0.8604141287254343,0.8712517711247941,1.0207576913249352
targetRet,0.08385526798062992,0.23472452505323482,0.2321826219274492,0.2248286519986762,0.21538289420922063,0.20952053265774673,0.21327029265963637,0.19953949342753718,0.1697289171947831,0.07418506869979313,-0.027312692555883533
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,-0.043425228526198456,0.10744402854640644,0.10490212542062083,0.09754815549184781,0.08810239770239225,0.08224003615091835,0.085989796152808,0.0722589969207088,0.042448420687954735,-0.053095427807035245,-0.1545931890627119
sigma,0.3320628679881155,0.3401328636104561,0.3457673153747687,0.3509659986825356,0.357332341576857,0.3634403976175229,0.3694322365402581,0.3771103303009494,0.3871004565738279,0.40267144803155375,0.14367914990747727
sharpeRatio,0.2525282892624751,0.6900965774423308,0.6714996230218931,0.6405995248617908,0.60275230968114,0.5764921402002255,0.5772920486228216,0.529127624979927,0.4384621984097618,0.18423225451529882,-0.19009503169716443
informationRatio,-0.44544337207701507,1.1827176230928402,1.2347577480398608,1.1752944982777853,1.0752852866191238,1.0459734003079106,1.0381188432223918,0.8430040208514287,0.45178150206015544,-0.44370310839140065,-0.367498879035082
maxDrawDown,0.7714648631880896,0.6815766290492711,0.692892738912803,0.6912673903805769,0.7176005093062321,0.7088377109070962,0.7176157587199795,0.7111059522201291,0.7322108107874229,0.7683490416909772,0.6658585363371257
meanRetMonthly,0.012437753209273535,0.02282592123743887,0.02212044880944885,0.021499044183086628,0.020997227204965788,0.020821070824407102,0.02127041261200307,0.02020546314196988,0.018200363684219394,0.01154360063259812,-0.0013024228442706186
winRateMonthly,0.5228426395939086,0.5888324873096447,0.583756345177665,0.5685279187817259,0.5685279187817259,0.5634517766497462,0.5482233502538071,0.5634517766497462,0.5736040609137056,0.5532994923857868,0.4517766497461929
PLRatioMonthly,1.248375315486653,1.249814979921662,1.2725903932732539,1.3507103096912798,1.3226283757562047,1.3273361635731658,1.4147366740284644,1.3037814249487085,1.183229219521534,1.0759863408253476,1.1085687954175774
meanTurnoverRate,0.8465422867876126,0.8796657908143376,0.8856866922491192,0.8885632299863441,0.8907218940474104,0.8930739965767713,0.8931248997629186,0.8896798386614395,0.8795367984128135,0.8199285564278204,0.0
