indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.001059368960071372,0.0010423389712904889,0.0010755621387282543,0.0010276478630808527,0.001004308899924821,0.0010009495055792374,0.0008872998198664843,0.0009277922451602337,0.0008411516049480189,0.0005722253773071655,0.00048714358276420657
winRateDaily,0.5597089814350226,0.559959859508279,0.562468640240843,0.562468640240843,0.5639739086803813,0.5642247867536377,0.5617160060210737,0.5652282990466633,0.5629703963873558,0.557451078775715,0.5243351731058705
PLRatioDaily,0.8970926727422319,0.8998452444344,0.8953182446140692,0.8897021467776054,0.8811515230157376,0.8794109738261316,0.8748000876110322,0.8653293553443288,0.861363202254946,0.8495524339965218,1.0891486925519287
targetRet,0.2148123910960753,0.2150349788092516,0.2261701088389776,0.21170429813827596,0.20517911370678954,0.20409147920273996,0.17018582017676231,0.18133167169376052,0.15272330612855756,0.07349289456334329,0.120341319310036
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.08753189458924693,0.08775448230242322,0.09888961233214921,0.08442380163144758,0.07789861719996116,0.07681098269591158,0.04290532366993394,0.05405117518693214,0.02544280962172918,-0.053787601943485086,-0.006939177196792379
sigma,0.37241878039941784,0.3603102689746819,0.3581178871866869,0.3577952197217121,0.35662939528199333,0.35684048149751907,0.3572812916312459,0.35932706446495893,0.3670132508275072,0.3774366767246414,0.12811915020610873
sharpeRatio,0.5768033257229664,0.5968050242397104,0.6315521143490804,0.5916912425575067,0.5753286644937126,0.5719403761205801,0.47633566090108365,0.5046423986007426,0.4161247741987825,0.1947158267741955,0.939292206640769
informationRatio,0.7830887603148051,0.9052425870062661,1.0941260817885,0.9924132395826901,0.9486300569941872,1.0047998567493095,0.5722015395921862,0.7420440072373805,0.3122189741200117,-0.5689939194967119,-0.019028506346573458
maxDrawDown,0.7327269078896559,0.7175138190834132,0.7052589274979,0.7044514553019876,0.6896835066262854,0.7112619409896752,0.7064145875395718,0.7175107614805079,0.7374469435248495,0.7934007128704934,0.3133829792470546
meanRetMonthly,0.0219134651798326,0.021116414922975,0.02195160462193799,0.02091411822462949,0.020263374329521376,0.020603019706432246,0.017922402600691018,0.018864785429891853,0.017036292934841227,0.011470218508734142,0.010466642501176005
winRateMonthly,0.5736040609137056,0.5736040609137056,0.5634517766497462,0.5685279187817259,0.5532994923857868,0.5634517766497462,0.5583756345177665,0.5583756345177665,0.5532994923857868,0.5532994923857868,0.583756345177665
PLRatioMonthly,1.276822339922492,1.3014194735012392,1.3764191110041795,1.3132804306458312,1.3883179809110213,1.3182430579550142,1.2704628061957286,1.2909857031014313,1.2453492748567379,1.0728608399966828,1.4128013412832388
meanTurnoverRate,0.08573315171097377,0.19336065701858754,0.2501625467343864,0.27897183179248797,0.28977371537485913,0.2865179877321857,0.2708065140486403,0.23781391046931424,0.17986309396079173,0.07850337058664406,0.0
