indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0004422128408326691,0.0008762898435686065,0.0009301880781038974,0.0010390711926308255,0.001115269485686225,0.0011003446811089228,0.0012068806254961922,0.0010691041582375589,0.0009883110812829714,0.0006725553226925856,-0.00023034248185991658
winRateDaily,0.5474159558454591,0.5622177621675866,0.562468640240843,0.5667335674862017,0.5717511289513296,0.5667335674862017,0.5717511289513296,0.5702458605117913,0.5637230306071249,0.553687907676869,0.46688409433015554
PLRatioDaily,0.8698883930371465,0.8682359420961023,0.8765774421278142,0.8759622341189913,0.8678086637918504,0.884423393051044,0.8777198341063356,0.8649869800227217,0.8759752957026867,0.873788040436074,1.0586832930387062
targetRet,0.03534564456072964,0.1635130985264217,0.18257896727136358,0.21656706992070296,0.24073562186868647,0.2361258027772848,0.2684854775746768,0.22242268440094626,0.19362817699579526,0.0992895102482314,-0.06550274058440819
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,-0.09193485194609874,0.03623260201959333,0.0552984707645352,0.08928657341387458,0.11345512536185809,0.10884530627045641,0.1412049810678484,0.09514218789411788,0.06634768048896689,-0.027990986258596973,-0.19278323709123657
sigma,0.3869962581552682,0.3655052582603034,0.35785971322860977,0.354663106304516,0.35287584110193976,0.35267969634874186,0.3549249935228778,0.3620587152883045,0.37183235160249783,0.3810558496606346,0.14278024507464784
sharpeRatio,0.09133329797351292,0.44736182265802565,0.5101970423665084,0.6106275676014553,0.682210550648442,0.6695191280413133,0.756456948578829,0.6143276629146541,0.5207405330959226,0.26056419377017276,-0.4587661307778418
informationRatio,-0.8206598249226648,0.4155649264924068,0.6779656822558797,1.0976518468933651,1.4187096139636275,1.3150673235225916,1.6494140301989415,1.0051317204450114,0.645300383891934,-0.21887605569654034,-0.553596415955663
maxDrawDown,0.7660389534438978,0.7144964832392813,0.7076039302416963,0.6871948771597639,0.7020239663476129,0.7056643863984476,0.6687286744244036,0.7036191894754635,0.7104944331766915,0.8471108748134046,0.9130272385235773
meanRetMonthly,0.008977415916307603,0.01768589120184849,0.01892261225805809,0.02132812478490072,0.02285856296029773,0.022830075404262035,0.025079789716670773,0.021876684103775225,0.019593928221095278,0.01325584076525929,-0.0043305210793486435
winRateMonthly,0.5025380710659898,0.5380710659898477,0.5329949238578681,0.5380710659898477,0.5685279187817259,0.583756345177665,0.5888324873096447,0.5786802030456852,0.6040609137055838,0.5583756345177665,0.38578680203045684
PLRatioMonthly,1.2268211010364622,1.3508155562547557,1.4310060722899547,1.499357248990411,1.3725576836453866,1.2799572677744553,1.3124988949317749,1.273494076948409,1.1060249392687973,1.1191179177295623,1.2445319779725463
meanTurnoverRate,0.8244707967808985,0.8881704688901725,0.8952144026533916,0.8904283950528631,0.8812108957952952,0.8779574713277757,0.8845642237161092,0.8995052109958065,0.9058262817327085,0.8402223939987207,0.0
