indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0014880146938131102,0.0012804933846805072,0.001098282754159907,0.001039712982137766,0.0009676817650903403,0.0007981086413700107,0.0007471087424606781,0.0006832508526865444,0.000628424403109177,0.0007062001480877398,0.0007818145457253703
winRateDaily,0.5855494229804316,0.5762669342699448,0.5709984947315605,0.5715002508780732,0.5634721525338685,0.5614651279478173,0.5566984445559459,0.5531861515303562,0.541645760160562,0.541645760160562,0.5652282990466633
PLRatioDaily,0.8557572950380161,0.8640559597837685,0.8629257378878817,0.8541505822327984,0.8753369091934949,0.863866200714315,0.8749696638712635,0.8810511763339121,0.9176870826987379,0.9282361226459054,1.0198293245156482
targetRet,0.3577711884175825,0.2870970494641112,0.22892664923521844,0.21014216555471155,0.18974580205861802,0.1406294347748931,0.12615030367171065,0.11037632996511038,0.09788544537431432,0.1235657447025631,0.20686585305597505
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.2304906919107541,0.1598165529572828,0.10164615272839006,0.08286166904788317,0.06246530555178964,0.013348938268064714,-0.001130192835117727,-0.016904166541718002,-0.02939505113251406,-0.0037147518042652816,0.07958535654914667
sigma,0.3608553263061623,0.36525014320556154,0.3671363339833833,0.36929876716499177,0.3666576235284303,0.3662189831128108,0.36636812109617845,0.3614762970029572,0.3551942659703563,0.345128114099618,0.12119832731072297
sharpeRatio,0.9914532565719617,0.7860285746761061,0.6235466992639844,0.5690302384920398,0.5175013142578373,0.38400367337477237,0.34432663872136915,0.3053487348416856,0.27558284227055513,0.35802862663021706,1.7068375252871388
informationRatio,1.9506080677626871,1.576976042005646,1.0867165922762863,0.9185855099564744,0.7530069436685308,0.16155929796617793,-0.014837151489027608,-0.24121096226596653,-0.44483023044226194,-0.04495660814976074,0.22977026257359007
maxDrawDown,0.6963267132949067,0.6892624130634737,0.6917238331414846,0.7040109252253457,0.705514098406836,0.7200455968071361,0.7428943770640345,0.7536558593929221,0.7499744314482173,0.7338714106670481,0.2259715210253952
meanRetMonthly,0.03143132292849837,0.02645291643176462,0.022444697602035765,0.02103968035930702,0.0194421644915216,0.01601250114591588,0.015092102148274915,0.013763279214350057,0.012515904124753303,0.014225200441068118,0.01642525240159783
winRateMonthly,0.6192893401015228,0.5939086294416244,0.5685279187817259,0.5685279187817259,0.5736040609137056,0.5482233502538071,0.5380710659898477,0.5329949238578681,0.5532994923857868,0.5634517766497462,0.6192893401015228
PLRatioMonthly,1.3034133044379026,1.3065403428296603,1.336096062413139,1.2952651031858138,1.2304513050194288,1.247723885954163,1.2691801714844015,1.2548752656644997,1.1317636224024294,1.1374216601037905,1.6475924493245808
meanTurnoverRate,0.02240834231212946,0.03570874415054785,0.04028762649216979,0.042234110940619934,0.04307344369545682,0.041973900340396365,0.03869238955014338,0.03440367680058737,0.02815541995476168,0.021169843913171914,0.0
