indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.001272516465997727,0.001286135411541302,0.001191592688447612,0.0010622482048293868,0.0009790370172250158,0.0009047585165963149,0.0007439128004961085,0.0007069541257276697,0.0006747516515629221,0.0006157599275440322,0.0006567565384536947
winRateDaily,0.5755143000501756,0.5787757150025088,0.5755143000501756,0.5664826894129453,0.5664826894129453,0.5629703963873558,0.5594581033617662,0.5526843953838435,0.5466633216256899,0.5371299548419468,0.5381334671349725
PLRatioDaily,0.8620673590797182,0.8594410637194427,0.8597357475888094,0.8750064708710644,0.8664787214456139,0.8703377573598282,0.8648055363676604,0.8844346704589373,0.9034507545005213,0.9337891569673498,1.0457953605420167
targetRet,0.28407825170446155,0.2918855326323042,0.2601433455676163,0.2175013710441409,0.1935509719528623,0.1716819901748885,0.12483469019747018,0.11475494915445728,0.10886960126855394,0.09696800255591986,0.16557326667862182
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.15679775519763317,0.16460503612547583,0.13286284906078794,0.09022087453731253,0.06627047544603393,0.04440149366806012,-0.0024458063093582005,-0.012525547352371103,-0.01841089523827444,-0.030312493950908515,0.038292770171793444
sigma,0.3667444041134218,0.35886485280997094,0.36236816596869525,0.3681112626822677,0.3656810502355429,0.3656210258472831,0.36725341793449934,0.36680280310719854,0.359650625983258,0.34887060832197836,0.1479384096543415
sharpeRatio,0.7745946455303122,0.8133578151964239,0.7178979005294023,0.5908576919361348,0.5292890398017398,0.46956268386654176,0.3399143046770358,0.31285188712399237,0.30270933345635803,0.2779483288154401,1.1192040462344042
informationRatio,1.1550556102620018,1.6405877014707886,1.4091916231609343,0.9829550277178944,0.7762698627402851,0.5406900505642255,-0.03139472988510177,-0.1676327679312121,-0.2649393774418607,-0.436310753793653,0.10541856310109195
maxDrawDown,0.7132524930114531,0.6937801611750739,0.6937930458439849,0.7015827517408062,0.7045333256143804,0.7132572208980736,0.7373720771411898,0.7531318120250352,0.7386974914527805,0.7453892908914096,0.3764827000478451
meanRetMonthly,0.026927856112553238,0.02666475634884193,0.02458430936048768,0.02159106075209424,0.019679348823142602,0.018277421513911773,0.014899124943521937,0.014299228819584965,0.013342039740749125,0.012294320923697408,0.014255096894522857
winRateMonthly,0.5989847715736041,0.5989847715736041,0.5888324873096447,0.583756345177665,0.5685279187817259,0.5736040609137056,0.5431472081218274,0.5482233502538071,0.5431472081218274,0.5685279187817259,0.5685279187817259
PLRatioMonthly,1.2497101106683044,1.3076424109704359,1.2940477075210637,1.2320534369777336,1.2690361357675781,1.1937263371148652,1.2381760278208882,1.1923697986137478,1.1974093514737794,1.0635253578197583,1.4920636239108218
meanTurnoverRate,0.02607124634764843,0.032892827616571585,0.03069859827121087,0.03265470112708678,0.032583605794153835,0.03189112605088522,0.030268897342334344,0.027181373996405578,0.023443033205811818,0.015706017542227446,0.0
