indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0011287280313901998,0.0011725932805684387,0.0011039264838807858,0.0010237236820180937,0.0010784717411864131,0.0009577266546762853,0.0009240278946724391,0.0008610840560558819,0.0007861321688863215,0.00040153178423133715,0.0007271962471588628
winRateDaily,0.562468640240843,0.5702458605117913,0.5684897139989965,0.5609633718013045,0.5629703963873558,0.5582037129954842,0.5614651279478173,0.5604616156547918,0.5559458103361766,0.5579528349222278,0.5609633718013045
PLRatioDaily,0.8937873427251922,0.8766432083752609,0.8745979864639399,0.8914648103789035,0.8898087685684423,0.8945292167338605,0.8793404022795895,0.8757506059911684,0.8831054789671907,0.8336200147264248,1.1077474188185241
targetRet,0.23594706633953022,0.2564925845297801,0.23374476480962625,0.2072493319400468,0.22342317658076905,0.18913460532303272,0.18020642943530496,0.16213118429919282,0.14024320467477125,0.03642173888405642,0.1940434439801304
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.10866656983270184,0.1292120880229517,0.10646426830279787,0.07996883543321842,0.09614268007394067,0.061854108816204345,0.05292593292847658,0.03485068779236444,0.012962708167942871,-0.09085875762277196,0.06676294747330203
sigma,0.3724945139268763,0.3575657994953254,0.3606907023297677,0.3651982070522151,0.3661416957381946,0.36149424528590757,0.359100273172436,0.35838762694232873,0.3592537536166402,0.35734954428863575,0.09379350467699384
sharpeRatio,0.6334242720843092,0.7173297471173087,0.6480476577295332,0.5674982186054786,0.6102095969439253,0.5232022578214081,0.5018276033133838,0.45239057408999994,0.3903736655857598,0.10192188423399282,2.068836692352817
informationRatio,1.1611906568154033,1.6847713317789126,1.343482186510858,0.9548734855315825,1.0871081833022345,0.7436170501708469,0.6502608929576239,0.41923422762511375,0.15032367492800575,-0.9816855695855506,0.2039231421548051
maxDrawDown,0.7270270985549561,0.6927868322858239,0.7348368036753123,0.7307868428049805,0.7314629740292945,0.7326244950091211,0.7175653906781492,0.7223087267487056,0.7038914228652222,0.7921895426830984,0.24554778369669683
meanRetMonthly,0.024187734891938536,0.024217063674652217,0.022626544164673912,0.0208642809231767,0.022225933237870622,0.019331687030802354,0.01863039178476598,0.01727425364456398,0.01547897348169805,0.007493160365530574,0.01523048145555435
winRateMonthly,0.5685279187817259,0.5736040609137056,0.583756345177665,0.5685279187817259,0.5736040609137056,0.5685279187817259,0.5634517766497462,0.5583756345177665,0.5583756345177665,0.5025380710659898,0.6649746192893401
PLRatioMonthly,1.3181558788682142,1.3821692947795805,1.2832439586876145,1.2870304429312904,1.2922378057519417,1.2648746110881324,1.2679854025156918,1.2458062001021517,1.200377566906044,1.2171716979441007,1.559992240116247
meanTurnoverRate,0.10076801285414005,0.14910493813127873,0.16960454136596653,0.18966407345444294,0.20151937783897322,0.18378184253097196,0.17528145875762718,0.162317562297409,0.12980816786252128,0.07056018884745546,0.0
