indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0010905096977406865,0.0010537132206019516,0.0010138523885343264,0.0009930574497400977,0.0009398428335280892,0.0009712652546854875,0.0009129263833566786,0.0008625227972620761,0.0008982454798358662,0.0007033404623703736,0.00038716923537031295
winRateDaily,0.5519317611640743,0.5594581033617662,0.5564475664826894,0.5659809332664325,0.5619668840943302,0.5614651279478173,0.5652282990466633,0.5644756648268942,0.5674862017059709,0.5566984445559459,0.5062719518314099
PLRatioDaily,0.9351911416501856,0.9057537536463723,0.9108543018270978,0.8723818209444957,0.8796170027796802,0.8840935608281248,0.8627303881164821,0.8587452489222114,0.8508710600076635,0.8669478666484962,1.1186095807527268
targetRet,0.23382880125030026,0.22358662701310683,0.20964012834460943,0.2015852657849302,0.18456439521895485,0.19290828259857462,0.17337276483196806,0.15745971932093994,0.16588111132263172,0.10970209125705055,0.09317779037339169
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.10654830474347188,0.09630613050627845,0.08235963183778106,0.07430476927810181,0.05728389871212647,0.06562778609174624,0.046092268325139685,0.03017922281411156,0.03860061481580335,-0.01757840524977783,-0.03410270613343669
sigma,0.3517532857589761,0.34907167682565077,0.3529924169581476,0.3570500031443065,0.3597162897288856,0.36204972756088727,0.3672056947903506,0.37006468261450837,0.374380052793336,0.37622683908507226,0.1242145761887988
sharpeRatio,0.6647522872338468,0.6405178129785093,0.5938941412712141,0.5645855314653416,0.5130832283354727,0.5328226149987435,0.4721407300912152,0.42549242529302295,0.4430821302709758,0.29158496912083604,0.7501357186274739
informationRatio,1.0831149117178447,1.2965394095191083,1.1268494840590375,1.0066646749696884,0.7409737001207694,0.816478822168996,0.5332258564373649,0.3375831697188921,0.4100621322596232,-0.16042911072290586,-0.0910888116698863
maxDrawDown,0.7465505307664738,0.739405536097546,0.7323322533782843,0.7152105841644885,0.721470931908021,0.6922745065333085,0.7048334223944454,0.7174649638116135,0.7001843603205373,0.824740985160773,0.5724330406376262
meanRetMonthly,0.022494829175582164,0.021318077917677633,0.020601684065855594,0.020050922108098022,0.019070426656400994,0.019632247546462228,0.01860275337768114,0.01749103029176438,0.018186976038011282,0.014828780981964594,0.008211914548538203
winRateMonthly,0.583756345177665,0.5888324873096447,0.583756345177665,0.5736040609137056,0.5583756345177665,0.5634517766497462,0.5482233502538071,0.5532994923857868,0.5532994923857868,0.5380710659898477,0.5786802030456852
PLRatioMonthly,1.2767288587881451,1.253359807692185,1.234733515403868,1.2641938231941434,1.2962592229451186,1.287011129329394,1.317878779214409,1.2596097913417421,1.27097324944039,1.2167014683881252,1.200532579633451
meanTurnoverRate,0.04415648076006561,0.08759909600249763,0.11315951351209035,0.12503918246216744,0.1288278911636414,0.12596323894037542,0.1158358817116306,0.09888931172374398,0.07605627336657438,0.042095888958669725,0.0
