indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.001409552658106547,0.001181250427780442,0.0011350641885584196,0.001111980519599152,0.0011538533314864204,0.0010096217651821028,0.0010086824684582562,0.0008289218625299346,0.0007931048936529763,0.00045927733445435127,0.0009502753236521956
winRateDaily,0.5521826392373307,0.5539387857501255,0.5476668339187155,0.5519317611640743,0.5572002007024586,0.5529352734570998,0.5474159558454591,0.5461615654791772,0.5436527847466132,0.5338685398896137,0.5027596588058204
PLRatioDaily,0.9012622355407358,0.8763187427373601,0.8961577539663371,0.8779651078064488,0.8630889531925814,0.8607324767381154,0.8794658845514665,0.8615470503264567,0.864091457673261,0.8594898674204081,1.1556023832436366
targetRet,0.33079988840030694,0.2619708515557,0.24827864234856278,0.2411327227551856,0.25293551352739985,0.20714182967854633,0.20480648206173635,0.15053029652488803,0.13707568486280075,0.03929447849992851,0.24499445547864607
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.20351939189347856,0.1346903550488716,0.1209981458417344,0.11385222624835722,0.12565501702057147,0.07986133317171795,0.07752598555490797,0.023249800018059652,0.009795188355972373,-0.08798601800689987,0.11771395897181769
sigma,0.3629721070862583,0.3518200285231023,0.34974114115945437,0.349633498310721,0.3523234177562888,0.3556571862054646,0.36008141365727936,0.36328052600634075,0.370889193011407,0.3877431003799186,0.1920197310702895
sharpeRatio,0.9113644876345668,0.7446160829882874,0.7098925837705988,0.689672825745346,0.7179071863521768,0.5824199192727113,0.5687782659525671,0.41436379257571504,0.3695866243764748,0.1013415286085735,1.2758816717067736
informationRatio,1.5646838079736776,1.256913703226597,1.1939104739245745,1.161558959755166,1.2972059595335792,0.8310850337696601,0.7957820166872905,0.23464429945128137,0.09016735161990641,-0.6227620167415927,0.2927558501588171
maxDrawDown,0.7150309087964115,0.6950791823007056,0.708059618299892,0.7177876317750598,0.7094945134433579,0.7141858751838323,0.7241621262404025,0.7393948397127488,0.7474649393798738,0.8633444441542545,0.4004954339114173
meanRetMonthly,0.029711378067584608,0.02426979526304037,0.023244793478133588,0.022634799381760426,0.023598630478884507,0.020378078933050863,0.02044475863490611,0.0166210133852537,0.015840253438039836,0.009110477456876999,0.0206640830999717
winRateMonthly,0.5685279187817259,0.5583756345177665,0.5583756345177665,0.5736040609137056,0.5685279187817259,0.5634517766497462,0.5786802030456852,0.5634517766497462,0.5634517766497462,0.5076142131979695,0.5532994923857868
PLRatioMonthly,1.4548061043778946,1.4031210843844657,1.377707741577545,1.2806058242578366,1.341162528430911,1.2603866084207986,1.1766526478076818,1.1261643031241955,1.095564825882707,1.147107290236312,1.7274021653540537
meanTurnoverRate,0.14897339887796454,0.3090735500759642,0.38730392835571276,0.4253371732886518,0.4366344805329571,0.42744146138926115,0.3967960557998774,0.34243639494794703,0.25593014722089474,0.12417057047308397,0.0
