indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0014248206234373942,0.0011725286531169327,0.001143429019697433,0.0010447612081936376,0.001054958799976127,0.0009660929900421635,0.0009246154828821602,0.0008146966942761134,0.0006559597279740011,0.0003624915430926599,0.0010623290803447342
winRateDaily,0.5572002007024586,0.5534370296036126,0.554942298043151,0.5577019568489714,0.559959859508279,0.5602107375815354,0.5554440541896638,0.5514300050175615,0.5506773707977922,0.5351229302558956,0.5150526843953839
PLRatioDaily,0.9115636758098506,0.9052537450674254,0.8985860782004846,0.8780301258994304,0.871111833604214,0.8592379148171088,0.8703460428407422,0.8704441931480047,0.8532029235181086,0.873519551031314,1.1523213638992873
targetRet,0.3307437785270042,0.2564177856972447,0.24879645272724393,0.2189745936338836,0.2215485244626152,0.19391486202770913,0.18047987898973328,0.14663287625226795,0.0987710729583251,0.013167908333166833,0.278621427537205
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.20346328202017583,0.12913728919041634,0.12151595622041556,0.09169409712705523,0.09426802795578682,0.06663436552088076,0.0531993824829049,0.019352379745439574,-0.028509423548503277,-0.11411258817366154,0.1513409310303766
sigma,0.3734165330019764,0.3581260750673183,0.3547168389517843,0.3530663142725611,0.3541937828291348,0.3559601445323214,0.35858863186652395,0.3628842287303208,0.3707365564343549,0.3912116874346097,0.19893910921994096
sharpeRatio,0.8857234463297148,0.7159986483783536,0.7013945361670924,0.6202081161014954,0.6255008845524868,0.544765657072323,0.5033061925312585,0.40407618916180266,0.26641848839585414,0.03365929177503886,1.4005362174873806
informationRatio,1.5314492058140414,1.2224542852848375,1.2523112939407979,1.0031837815373916,1.0679176294025894,0.7633494072569694,0.6045412341504842,0.21409321144852422,-0.2810166444356564,-0.8078900873436986,0.37819365634746244
maxDrawDown,0.7509718489836489,0.687469897240377,0.6980427670261768,0.7069011465493857,0.7095124186311557,0.7138767636856393,0.7111191704738606,0.7317194928648998,0.7947064851512601,0.8821533797417916,0.35008760895510316
meanRetMonthly,0.0298212548829782,0.023825731792149838,0.02332652175998952,0.021267534674992192,0.02155966721512192,0.01961613204576369,0.018700820478227298,0.01644930479864222,0.013124585707596144,0.007261622752097589,0.023001722258799297
winRateMonthly,0.5786802030456852,0.5786802030456852,0.5634517766497462,0.5583756345177665,0.5583756345177665,0.5685279187817259,0.5532994923857868,0.5482233502538071,0.5685279187817259,0.5279187817258884,0.6091370558375635
PLRatioMonthly,1.4226492249118166,1.3136358915245876,1.3835177432938615,1.3532472313979234,1.3508215184909473,1.2417428682191558,1.284712801175279,1.231992600210875,1.033741194691577,1.035717473867126,1.5344322116635696
meanTurnoverRate,0.17477228661797198,0.3803118568994669,0.4699591586735163,0.5110624794495952,0.5237919776010477,0.5135230427165611,0.4811363254600197,0.42114103699704497,0.3190846251503225,0.14169732176734576,0.0
