indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0013015927701041429,0.0016540024883833237,0.0016916507423455195,0.0014662360397283392,0.0012743218557798811,0.0009539981369646734,0.0007807116958900653,0.0004369494004183882,0.00012424875574381747,-0.00025245231703446765,0.0015540450871386101
winRateDaily,0.5725037631710989,0.5802809834420471,0.5830406422478676,0.578273958855996,0.5737581535373808,0.557451078775715,0.5577019568489714,0.5451580531861515,0.5376317109884596,0.5296036126442549,0.6179126944305068
PLRatioDaily,0.8747956395360568,0.8894836482459983,0.8862441049409491,0.8796829270034661,0.8755042547073509,0.8977652055239861,0.8765741352061782,0.8818694750400465,0.8732833595011055,0.8594276845872697,1.060984800493594
targetRet,0.29050607934224737,0.41288093704758566,0.42779968927948997,0.35005083411939353,0.28803844009102897,0.18873003041576442,0.13735281020423518,0.0431673846941758,-0.03569840659696988,-0.1217297101814292,0.4616928298773151
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.163225582835419,0.2856004405407573,0.3005191927726616,0.22277033761256515,0.1607579435842006,0.06144953390893604,0.010072313697406798,-0.08411311181265257,-0.16297890310379826,-0.24901020668825757,0.3344123333704867
sigma,0.37265184829040887,0.36564302309014396,0.3624900122427293,0.3621489437776554,0.3594661613464283,0.3598519830366302,0.3621584651959614,0.363284688524524,0.36470907741619946,0.36252039606987757,0.13156869707210964
sharpeRatio,0.7795643055977948,1.12919134503982,1.180169590419027,0.966593552553091,0.8012950064955842,0.5244657228873827,0.379261631037437,0.11882522456286163,-0.09788187025636189,-0.3357872039783527,3.5091388768885685
informationRatio,1.5176954746923959,3.119486039636265,3.431824982169706,2.5186522074326554,1.9104237371690238,0.7255412142181776,0.11689462954924074,-0.9692581779896208,-1.7764252955924424,-2.3160688222490666,0.96892393841952
maxDrawDown,0.729282974661233,0.6860962838421347,0.6755183877870881,0.7057686080989078,0.6872700859481294,0.6952039866624915,0.7044069782657769,0.7760700874956391,0.8714785211736092,0.9574893040567762,0.16882524320761283
meanRetMonthly,0.02658398724194703,0.034044259893946965,0.03538487353075209,0.030283037594142262,0.026308323017241692,0.01934770589648976,0.01560008435009358,0.008468887940675865,0.0018598036077381885,-0.0054083584399741425,0.03193942329042734
winRateMonthly,0.6192893401015228,0.6294416243654822,0.6192893401015228,0.5939086294416244,0.5634517766497462,0.5431472081218274,0.5380710659898477,0.5177664974619289,0.5025380710659898,0.45685279187817257,0.8274111675126904
PLRatioMonthly,1.1705840392755962,1.3622475923205553,1.4456008978357362,1.4519882037645846,1.5087461358352108,1.3921880418338746,1.3028399491675526,1.1724719311597385,1.0422566918613296,1.0262905559532773,1.6587463357024537
meanTurnoverRate,0.850687047008584,0.8908245247672655,0.8912107396609218,0.8887210115650401,0.8889023388354529,0.8922465060464148,0.8961173674818669,0.8943968258732905,0.8837786694329598,0.8479071903110942,0.0
