dates,IC,pvalues,显著性
20050104,-0.040499703511007824,0.21575134939728655,不显著
20050105,0.03755380376577348,0.24018122969284808,不显著
20050106,0.03059757293629072,0.33962961734100905,不显著
20050107,0.008146119151467844,0.7985584314688792,不显著
20050110,-0.010288188421282549,0.745347693038771,不显著
20050111,-0.060251144469479434,0.06453678355907405,不显著
20050112,-0.015200971665998967,0.6396541137252902,不显著
20050113,0.004051175325296604,0.9007596918591707,不显著
20050114,-0.05459374459319316,0.0847434544961629,不显著
20050117,-0.03066302799505972,0.3366200762376441,不显著
20050118,0.036281506969624344,0.2703183178056356,不显著
20050119,-0.019187699035778723,0.5619243481281879,不显著
20050120,0.072271210349816,0.023665393288913292,正显著
20050121,0.03621387017480608,0.2532859933008099,不显著
20050124,0.003834203338905519,0.9060001574918828,不显著
20050125,-0.042749428723875146,0.19859597625096134,不显著
20050126,-0.04334836517815271,0.18304827785621622,不显著
20050127,0.023317775109142853,0.47378352941731694,不显著
20050128,-0.03073584293270293,0.34475113496236887,不显著
20050131,0.04794422614888605,0.14467206296273355,不显著
20050201,0.026556831772139602,0.40918275270419535,不显著
20050202,-0.01343197335893643,0.6666239755541791,不显著
20050203,-0.03076448636651352,0.34868100602875274,不显著
20050204,0.05522177779916205,0.07312729584194426,不显著
20050216,-0.018217532460000987,0.5691342779467775,不显著
20050217,-0.047533173308951876,0.1464084603429009,不显著
20050218,0.0013854082168547432,0.9654859290713194,不显著
20050221,-0.011897231353330026,0.7043057487951612,不显著
20050222,-0.05011077646893904,0.10989478904493945,不显著
20050223,0.0277028781585913,0.3962225728783043,不显著
20050224,-0.04946808155045966,0.14121629415755563,不显著
20050225,-0.049861359837990574,0.1278237150450097,不显著
20050228,0.04035925430841461,0.21272795087334845,不显著
20050301,0.01441899196522564,0.6556231084282993,不显著
20050302,0.005317103884460805,0.8681016536437031,不显著
20050303,0.033665757577537814,0.3027559341252874,不显著
20050304,0.05146509380024851,0.11329640695416167,不显著
20050307,0.008402075950993095,0.8010435999290397,不显著
20050308,0.018007262286810877,0.5620590672731769,不显著
20050309,0.05364515878176251,0.10005211194441913,不显著
20050310,0.004567214218879784,0.8853616616039383,不显著
20050311,-0.03423755195814546,0.2961653433160676,不显著
20050314,0.03086497298886775,0.3465888367822376,不显著
20050315,-0.02062689255465337,0.5210934268943439,不显著
20050316,-0.028185778226681765,0.3842680090204539,不显著
20050317,0.003176671830535169,0.9219409298219374,不显著
20050318,0.04076708909949401,0.20296308904309746,不显著
20050321,-0.020389901023487863,0.536342957901164,不显著
20050322,0.00993003754155515,0.7579005328001012,不显著
20050323,-0.021127373575384148,0.5176556842989595,不显著
20050324,0.047402909598060455,0.14600828316688053,不显著
20050325,0.04661729879284181,0.1574828566603389,不显著
20050328,0.032925933122566614,0.32569729215035503,不显著
20050329,-0.024667136357953885,0.46034788431528195,不显著
20050330,-0.021571437169904638,0.5100237417397073,不显著
20050331,0.039185106445252964,0.2300403104923375,不显著
20050401,-0.009451194361142282,0.7695853209083714,不显著
20050404,-0.052786962016242535,0.11434042093890287,不显著
20050405,0.019239992196194006,0.5468304061796477,不显著
20050406,0.11608399318961715,0.00036721489960543196,正显著
20050407,-0.03310408210569659,0.3106403366095961,不显著
20050408,-0.0507490657181569,0.11420983920780817,不显著
20050411,0.0210087794521092,0.5341429179247332,不显著
20050412,0.05946371997589485,0.06468824460064923,不显著
20050413,-0.0297973419489433,0.36874564899319007,不显著
20050414,-0.03406206687772178,0.2991691633506132,不显著
20050415,0.002927390638868876,0.9300764129176263,不显著
20050418,-0.004414903050675792,0.8961841024379775,不显著
20050419,-0.015927629393145407,0.6407060119231349,不显著
20050420,-0.0031520018429860726,0.925145522850588,不显著
20050421,0.05933747512644308,0.07785200828245595,不显著
20050422,-0.0003900774115485974,0.991057882608517,不显著
20050425,-0.0005170673731975621,0.9879053426307889,不显著
20050426,0.012027648217109605,0.7255994599655251,不显著
20050427,0.01050054877749308,0.7596966313145588,不显著
20050428,-0.05447690779725878,0.10014909803384625,不显著
20050429,-0.014118563527861524,0.6705893510245526,不显著
20050509,0.008333701155189397,0.7984860342759454,不显著
20050510,-0.03673294879962499,0.2720418097897601,不显著
20050511,-0.0404970990501654,0.22485373679657755,不显著
20050512,0.033819257226470174,0.3132800450490484,不显著
20050513,-0.01676984569620223,0.6189297900043457,不显著
20050516,-0.005411865424855135,0.8725611244725973,不显著
20050517,-0.008472330285383488,0.7945687906969893,不显著
20050518,-0.015006734533362818,0.6559035067916945,不显著
20050519,0.023372913837915933,0.48790522110382895,不显著
20050520,0.024802267116032173,0.4660408107770515,不显著
20050523,0.011527726364561432,0.7268042506661493,不显著
20050524,0.00623856822328084,0.8493919696016943,不显著
20050525,-0.04804468530440365,0.14645876135275637,不显著
20050526,-0.000455197688720184,0.9895021378038884,不显著
20050527,-0.039491561614330255,0.25149586656691053,不显著
20050530,0.02306801943062425,0.48134503954891783,不显著
20050531,-0.02782393224668692,0.3949187748908207,不显著
20050601,-0.029171735120037685,0.35870745828156647,不显著
20050602,-0.010500692110062536,0.7458717113551763,不显著
20050603,0.004843524229806116,0.8808003470806656,不显著
20050606,0.026713831070799825,0.3973331743005668,不显著
20050607,-0.04606670751517898,0.1595088901671088,不显著
20050608,-0.10147615171171923,0.0007504271969554782,负显著
20050609,0.04104449072418993,0.20106164209825825,不显著
20050610,-0.03812198749040392,0.24118965347157176,不显著
20050613,0.06355873110705916,0.050791321103954394,不显著
20050614,0.0003583303171142617,0.990925205066461,不显著
20050615,0.017996470968345064,0.5718767136607945,不显著
20050616,0.04850038120130995,0.15577665476800304,不显著
20050617,-0.04256170855545778,0.20588932071578112,不显著
20050620,-0.010931497323183183,0.7288587825146011,不显著
20050621,0.02273224951793782,0.5001567880949522,不显著
20050622,0.07389574756261783,0.027060828190119374,正显著
20050623,0.013486332606021372,0.681260690028989,不显著
20050624,-0.011555271721680594,0.7328534179053255,不显著
20050627,-0.00784504975017256,0.815206236189193,不显著
20050628,0.06665692134606874,0.05761501976854517,不显著
20050629,-0.049169283099105884,0.1443191651025049,不显著
20050630,0.022348918769244077,0.4918984689706357,不显著
20050701,0.006963498622035628,0.828084529036285,不显著
20050704,-0.0037206016587576947,0.9103183765527233,不显著
20050705,0.00034511712813086007,0.9915554227929027,不显著
20050706,0.007674645605567147,0.8092298687355073,不显著
20050707,0.01687877987761972,0.6016335057456236,不显著
20050708,-0.016425505041325932,0.6114313294025084,不显著
20050711,0.04849198179754935,0.134475658826592,不显著
20050712,-0.045373862410780355,0.15411644852698475,不显著
20050713,0.06558350204432682,0.05113050140529046,不显著
20050714,0.013504567598493776,0.6803661986051791,不显著
20050715,0.04506087635470389,0.16060482941886592,不显著
20050718,0.050432823802814185,0.11762508552298824,不显著
20050719,0.0037428253903953965,0.9095402756875346,不显著
20050720,0.011802066140498073,0.7097444426378702,不显著
20050721,0.010724578349363065,0.7423587473194104,不显著
20050722,-0.02133802440085668,0.4975319692814615,不显著
20050725,0.01583879093246524,0.6306330657156393,不显著
20050726,0.024357272593576555,0.4486083251695838,不显著
20050727,0.009778213317185324,0.7599345683121033,不显著
20050728,0.06320701382297972,0.051345464530082215,不显著
20050729,-0.022974196531189272,0.48643737520365704,不显著
20050801,0.02134527217368983,0.5215456505537011,不显著
20050802,-0.019184860842482155,0.5433232447837715,不显著
20050803,-0.042185554549785814,0.19699175543998693,不显著
20050804,0.0037881337674677915,0.9088962159995495,不显著
20050805,-0.0013753351629927242,0.9654048601983154,不显著
20050808,0.04030711382804962,0.22729713895016335,不显著
20050809,-0.01115672434669801,0.7307293873243295,不显著
20050810,-0.029765925414253543,0.3640389268585579,不显著
20050811,-0.056076955344300176,0.09234296319776718,不显著
20050812,-0.0657890983393498,0.05392061237287933,不显著
20050815,0.04536818399141086,0.15927787980956346,不显著
20050816,-0.04938537170221675,0.14670953362667072,不显著
20050817,-0.031868919603180945,0.344202751139306,不显著
20050818,0.020742371578904923,0.5368041134832209,不显著
20050819,-0.044512542254090744,0.1838583322163922,不显著
20050822,-0.030873103603283998,0.3482841366231463,不显著
20050823,0.028416037817925562,0.3968901402008882,不显著
20050824,-0.04721366249820745,0.16290106254711595,不显著
