indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0008012375962029024,0.0012840037597119706,0.0014247803398031676,0.0014015806107224378,0.0011333196842490392,0.0010802644341098276,0.0009558149046379884,0.0008443372394217527,0.0006217279403523667,-0.0001106334066301933,0.0009118710028330958
winRateDaily,0.5629703963873558,0.5775213246362267,0.5725037631710989,0.5704967385850477,0.5674862017059709,0.5627195183140994,0.5584545910687406,0.5589563472152533,0.5531861515303562,0.5333667837431009,0.5830406422478676
PLRatioDaily,0.8595688444787105,0.8600270668821557,0.8938599782912026,0.8999136342942357,0.8801748270837979,0.891158687529794,0.892256855928431,0.8786674743655651,0.8746212008600921,0.8617879805832092,1.0578625294194717
targetRet,0.14367678971141173,0.28801901769605665,0.33441618634062387,0.3282041365542081,0.24196511314440694,0.22532167391219904,0.18762241370877897,0.15634708554487275,0.09395568396700504,-0.08732936890803333,0.249210061418085
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.016396293204583356,0.16073852118922827,0.2071356898337955,0.20092364004737973,0.11468461663757856,0.09804117740537066,0.06034191720195059,0.029066589038044377,-0.033324812539823334,-0.2146098654148617,0.12192956491125662
sigma,0.3607848853256457,0.36618730523555554,0.36556431886366647,0.36264026809540834,0.3625089853641625,0.36337622203366077,0.36357824813701467,0.36040148779340264,0.35991812355158903,0.35452223295269136,0.1035401746353952
sharpeRatio,0.3982339492457634,0.7865346875167725,0.9147943852401553,0.9050405192946187,0.6674734224900334,0.6200782006350617,0.5160441106423763,0.4338136518306981,0.2610473822209119,-0.24632973842203815,2.4068924192531984
informationRatio,0.18018737683130306,1.78609518232493,2.3002696742317608,2.3362330625041117,1.4414370565898824,1.2262412743798692,0.7496286217786214,0.35619675211670176,-0.40440150403605496,-2.2793896078811633,0.35969573933087545
maxDrawDown,0.7708715404396804,0.725865300329739,0.7172037847935147,0.7059425175771934,0.739705267356673,0.686768933217544,0.6906675001962232,0.6827920145608859,0.7102172505803421,0.9208178336179749,0.14863175721285748
meanRetMonthly,0.016980431173384117,0.02650730311912563,0.029866665689745726,0.02919643053731489,0.023285006765972352,0.021685247428677792,0.01903126925133646,0.016619402606925696,0.012081286305986313,-0.0028746115928359665,0.018698668329496824
winRateMonthly,0.5482233502538071,0.5888324873096447,0.6040609137055838,0.583756345177665,0.5634517766497462,0.5583756345177665,0.5583756345177665,0.5634517766497462,0.5380710659898477,0.45685279187817257,0.7360406091370558
PLRatioMonthly,1.24766987449549,1.355686790289468,1.3531620553798895,1.461166761215659,1.391126317097049,1.4010871871265895,1.3129495105968125,1.2226244571945908,1.1911928021073694,1.0949570192677232,1.6429009147706706
meanTurnoverRate,0.8907367514874257,0.8993503996277454,0.8966034247020107,0.8939060369052065,0.8967399550175011,0.8983454105847309,0.8987995573936531,0.898611387800784,0.8966271504589546,0.8811745426725504,0.0
