indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0018686339612159664,0.0012706733686316844,0.0012078315753248346,0.0010641703631940314,0.001094796881998907,0.000985352476086683,0.0008460164731691369,0.0008065439229090189,0.0006292069143240671,-0.0003399826387531122,0.002208616599969079
winRateDaily,0.5712493728048169,0.5647265429001506,0.5699949824385349,0.5672353236327144,0.5677370797792273,0.5697441043652784,0.5667335674862017,0.5637230306071249,0.5579528349222278,0.5250878073256398,0.6211741093828399
PLRatioDaily,0.9426196273384616,0.8990151767833697,0.8745538900867476,0.8697687337095369,0.8729099113366585,0.8556584475885793,0.8525088007317044,0.8603477927143901,0.8624420339072377,0.8619175435881491,1.2601014418501653
targetRet,0.4896760968879319,0.27958991464771743,0.2605616208394037,0.2166833601613758,0.2272425273854255,0.19566778183527322,0.15572607776697955,0.1465989057025745,0.09976359945181934,-0.13290622581779887,0.7183654278445484
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.3623956003811035,0.15230941814088905,0.13328112433257533,0.08940286365454742,0.09996203087859712,0.06838728532844485,0.028445581260151176,0.019318409195746122,-0.027516897055009037,-0.26018672232462725,0.59108493133772
sigma,0.36795368959916264,0.37471835237688517,0.3727355599251304,0.37142480798815947,0.3687254559824945,0.3651957042425049,0.3627869909158702,0.3575197593748745,0.3501843789561364,0.33728792096135546,0.14329272034623247
sharpeRatio,1.3308090412719327,0.7461334969964609,0.6990522205387151,0.5833841884042473,0.6162919421441139,0.5357888374977757,0.4292493437370587,0.4100442055535716,0.2848887770185648,-0.394043834831033,5.013272314942383
informationRatio,3.98546543740209,1.8505914890247712,1.6309464679121632,1.0900335659803744,1.2077414036256313,0.804782431820568,0.3266491744905304,0.21202128868286957,-0.28616268332807154,-2.2336500263014334,1.843039084419354
maxDrawDown,0.7091999407013727,0.7182048148992886,0.7205620386389688,0.702865769929006,0.7046200411934201,0.7130897271659418,0.7190068351641564,0.7096603969015658,0.7258614697086674,0.9660572560903151,0.14156261660451508
meanRetMonthly,0.040694174248540646,0.025859955394887793,0.02456832824986242,0.021437322015961807,0.022120033888541318,0.019960501883809476,0.01692133342819803,0.01605163479951887,0.012110185805483339,-0.006670672978652604,0.04609344390742862
winRateMonthly,0.6192893401015228,0.5736040609137056,0.5736040609137056,0.5634517766497462,0.583756345177665,0.5786802030456852,0.5736040609137056,0.5786802030456852,0.5685279187817259,0.4416243654822335,0.8477157360406091
PLRatioMonthly,1.5256719673817298,1.416527506320883,1.3767285976977206,1.3395582602304177,1.255338283740145,1.2190971703397329,1.1581835351449536,1.122690568786143,1.072073234988628,1.0496361861070018,3.4459589428081427
meanTurnoverRate,0.781131211446338,0.8550046148894227,0.8761008998638136,0.884863214301051,0.889000838803815,0.8889257715215626,0.8857548278740164,0.8758668575535702,0.852157557093763,0.7123793029906295,0.0
