indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,-0.0003380101864959148,0.0006340340919614737,0.000802520346833685,0.0008531360248354325,0.0009902511768909003,0.001092047856021184,0.0010712125674635434,0.0011983119017251781,0.0012699518752168017,0.001876058699225067,-0.0022140688857209823
winRateDaily,0.5253386853988962,0.557451078775715,0.5642247867536377,0.5672353236327144,0.5699949824385349,0.5684897139989965,0.5684897139989965,0.569493226292022,0.5647265429001506,0.5707476166583041,0.3770697441043653
PLRatioDaily,0.861296749396387,0.8647597568139125,0.8581282189000853,0.8515211730922116,0.8552715723726821,0.8698957755507372,0.8661144678490303,0.8753036187573006,0.8988966610250997,0.9454256304660726,0.7963982704371774
targetRet,-0.13249237590768403,0.10110720175998367,0.14538122527056574,0.15776153078293942,0.19710030861792593,0.22636552098140683,0.2188612257613991,0.25755713955537396,0.2792893214755352,0.4924850580876343,-0.4313652459674947
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,-0.2597728724145124,-0.02617329474684471,0.01810072876373736,0.03048103427611104,0.06981981211109756,0.09908502447457845,0.09158072925457073,0.13027664304854558,0.15200882496870682,0.36520456158080594,-0.5586457424743231
sigma,0.3373262043728056,0.3501492852080501,0.35767385523605855,0.362850583027887,0.36525996962532825,0.36880401808993807,0.3713579450966931,0.37274835664608647,0.37487017809488565,0.3678680874878029,0.14335835515044057
sharpeRatio,-0.3927722607676703,0.28875455707387276,0.40646310358529464,0.43478373237398,0.5396165060740299,0.6137826864082712,0.5893538260085229,0.6909678740714525,0.7450294469805561,1.3387545015139788,-3.0089996883322154
informationRatio,-2.23245495242337,-0.2722810560170193,0.19888136736358972,0.3504554484255342,0.8217898074348658,1.1983982526914783,1.1174189677899533,1.593591722021467,1.842803015581673,4.0152036861877045,-1.4116597192757094
maxDrawDown,0.965841703729486,0.7240289261990425,0.7105991000590384,0.7166752910319207,0.7138518522775614,0.7054414207063953,0.7028999658255373,0.7192307229435804,0.7188207632035538,0.7089608719085858,0.999884641346732
meanRetMonthly,-0.006265248857144571,0.012210172785135202,0.01596622711836874,0.017059726292155894,0.0200759720845097,0.022075468224009527,0.021575111274367897,0.024352163297874565,0.02584247335029944,0.04060674328974847,-0.04346554478753214
winRateMonthly,0.4467005076142132,0.5736040609137056,0.5786802030456852,0.5736040609137056,0.5786802030456852,0.583756345177665,0.5583756345177665,0.5634517766497462,0.5736040609137056,0.6192893401015228,0.14720812182741116
PLRatioMonthly,1.0295570718544407,1.052941562552029,1.1199409858953113,1.1619524816732005,1.2218408922824613,1.252842619080234,1.372995382285857,1.4298703944881486,1.4156171981637875,1.534359149064148,0.2954954921491227
meanTurnoverRate,0.7119480317984486,0.851865011708303,0.8757694732923941,0.8857697592987511,0.8889846057650759,0.8889461304923649,0.884997476648554,0.8763518188746909,0.8553141812377345,0.7819046320744502,0.0
