indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0018856194563521699,0.0012943103965828483,0.0011890117999860089,0.0011384524229352553,0.0010309481463582038,0.0009811749720721786,0.0008474854302579513,0.0006554897279186197,0.0004338190997996053,-2.292456261827613e-05,0.0019085440189704464
winRateDaily,0.5820371299548419,0.5737581535373808,0.5735072754641244,0.5737581535373808,0.5664826894129453,0.5644756648268942,0.5619668840943302,0.5566984445559459,0.5546914199698947,0.535373808329152,0.6422478675363773
PLRatioDaily,0.90717873219944,0.8726896427340235,0.8634007374215625,0.8571992505210313,0.8726219977121213,0.8742107696798709,0.8691362278483017,0.8668085583721945,0.8495289285246092,0.8647368825031584,1.2886917187984501
targetRet,0.49773598875756986,0.29028675561280215,0.25769893996825766,0.24272719608450477,0.21073014657272915,0.19579910070976791,0.15752581609757588,0.10345939673453186,0.044647330357151294,-0.06585805239091103,0.6011827494133792
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.3704554922507415,0.16300625910597377,0.13041844346142928,0.11544669957767639,0.08344965006590077,0.06851860420293954,0.0302453195907475,-0.023821099772296517,-0.08263316614967708,-0.1931385488977394,0.47390225290655086
sigma,0.36449401663445957,0.3681305351970334,0.36620052749552606,0.3644072468763237,0.36227065984571416,0.3622398515023705,0.3599339976176461,0.35930279293324074,0.35749941686522385,0.3511529948908816,0.10940675956732893
sharpeRatio,1.365553249277984,0.7885429972752269,0.7037099092420231,0.666087730595775,0.5816925573340002,0.5405233573768915,0.4376519504693019,0.2879448720393188,0.12488784107299172,-0.18754802991606542,5.494932413599283
informationRatio,4.104797846050677,1.9850169447854054,1.6362796568044669,1.4927859003266437,1.0840204041884236,0.879492417410003,0.38054431422354235,-0.2895930995415912,-0.9363013947167645,-1.8680671533992175,1.4345613638986268
maxDrawDown,0.7190036437061886,0.7166118582947643,0.7040262162302009,0.6994532247595941,0.7263005508058571,0.6979571460363676,0.6879551248611051,0.7210589280965427,0.7352551283201589,0.9026053195435951,0.12830393781339378
meanRetMonthly,0.041282673929536016,0.026410828372685963,0.024024665909864726,0.02297509918056602,0.020898580152645365,0.019763701572683375,0.01698992739211185,0.012904502717533824,0.008185929570815416,-0.0004961589613892999,0.03978997058502013
winRateMonthly,0.5989847715736041,0.5786802030456852,0.5888324873096447,0.5736040609137056,0.5888324873096447,0.5583756345177665,0.5583756345177665,0.5380710659898477,0.5532994923857868,0.48223350253807107,0.8883248730964467
PLRatioMonthly,1.6640277508258834,1.4081320264994863,1.2942950791656715,1.3446076041694905,1.201191829525697,1.3258585602769466,1.2389817516590715,1.2213400497256652,1.0171206103720745,1.0592567612656634,3.201954177627872
meanTurnoverRate,0.864500716433869,0.8878453621765229,0.892905423904727,0.8959382921162834,0.8974435300414009,0.8985978385019181,0.8982566908336335,0.8960262931861813,0.8871276411646951,0.8146680537165172,0.0
