dates,IC,pvalues,显著性
20050104,,,
20050105,-0.006366957194867626,0.9032486883444246,不显著
20050106,-0.02555616030308427,0.6222537646287356,不显著
20050107,-0.02912379467527887,0.5719194735485843,不显著
20050110,0.02622720083406585,0.6165027020153564,不显著
20050111,-0.0022106675757973043,0.9664733214098928,不显著
20050112,0.0006561593501025893,0.9901151905713752,不显著
20050113,-0.15794769458448302,7.168814671092921e-07,负显著
20050114,0.0756957054691199,0.016388669952741457,正显著
20050117,0.003880398522906961,0.9031912622210123,不显著
20050118,0.005359309203031271,0.8679449455529158,不显著
20050119,0.049686639234492895,0.12046570470081187,不显著
20050120,-0.03770787240751029,0.23705954955355044,不显著
20050121,0.019755899514541164,0.5403172331041926,不显著
20050124,0.00762958875989794,0.8132675006535844,不显著
20050125,-0.05256317283931765,0.10469502061948818,不显著
20050126,-0.06417516163073506,0.046031267645783996,负显著
20050127,-0.09520257059204724,0.003430412114355382,负显著
20050128,0.02921985763890114,0.3693338311253317,不显著
20050131,-0.020991026915550916,0.5210303896365411,不显著
20050201,0.08324159938654833,0.00994979069633856,正显著
20050202,-0.03670007893265974,0.25422109772819496,不显著
20050203,-0.04068214913074333,0.20956679351512666,不显著
20050204,0.02742034183126614,0.3861503772573598,不显著
20050216,-0.0022523376946809986,0.9437738915818634,不显著
20050217,-0.056986071637380516,0.0735356558555916,不显著
20050218,0.07101798098246098,0.027460080502619753,正显著
20050221,0.01934157190230668,0.5505160219338361,不显著
20050222,0.016172128738253338,0.6197137944693188,不显著
20050223,-0.12407016999713402,0.00015496815697349107,负显著
20050224,-0.08698825718675704,0.007848017819924396,负显著
20050225,0.02495255790535707,0.4423704397198114,不显著
20050228,-0.1792383512814235,1.8698539397733594e-08,负显著
20050301,-0.10273907298179974,0.0016193649250666282,负显著
20050302,-0.02328352726645125,0.4677200249457407,不显著
20050303,-0.031577865585330475,0.3238792730207215,不显著
20050304,-0.03190372091293685,0.3209014145305456,不显著
20050307,0.022788357381070858,0.48411642929665366,不显著
20050308,0.04339413625769103,0.17711284409002068,不显著
20050309,-0.04667587021578971,0.1490664618000421,不显著
20050310,0.09653315685249785,0.0023131991790500015,正显著
20050311,0.05078120143537417,0.11048964302430597,不显著
20050314,0.02904117704776581,0.3665048922482751,不显著
20050315,-0.10139411347128394,0.0013096911703916192,负显著
20050316,-0.050097409485601964,0.11912987965522132,不显著
20050317,-0.011343890502303973,0.7228307363523296,不显著
20050318,0.0035206781083535303,0.912439772577441,不显著
20050321,0.10229922739373759,0.0014958739075422013,正显著
20050322,0.014207529564215638,0.65902693354047,不显著
20050323,0.02700969981714499,0.4049203577571924,不显著
20050324,-0.016999256520059555,0.5961907239005348,不显著
20050325,0.07163039234196812,0.026940293770601476,正显著
20050328,-0.12082882458115442,0.00023377961299357098,负显著
20050329,0.04642258604946917,0.15519940899973028,不显著
20050330,0.07035022489173436,0.030145638642614807,正显著
20050331,-0.04287632553850461,0.18833590684049567,不显著
20050401,-0.010975720683780775,0.7300254460709439,不显著
20050404,0.02149309306029807,0.5050684123051065,不显著
20050405,0.00466034362150004,0.8838593378629094,不显著
20050406,-0.010770080335097161,0.7403773025080358,不显著
20050407,0.044804419025387884,0.16853572701740718,不显著
20050408,-0.03172245696496004,0.33517688855633365,不显著
20050411,-0.05674933764557477,0.08220016080978564,不显著
20050412,-0.049711759876575286,0.12473877753819734,不显著
20050413,0.027064639822053246,0.4087035063237261,不显著
20050414,-0.02384952762398461,0.4680506948555767,不显著
20050415,0.020500053293911472,0.5379473559062602,不显著
20050418,-0.014149140090701484,0.6742311129120903,不显著
20050419,0.07473231682458639,0.02553383626782994,正显著
20050420,-0.029105105985677063,0.3842026846838371,不显著
20050421,0.022212790665633097,0.5095229770918118,不显著
20050422,0.07016792247374201,0.04191620770122152,正显著
20050425,0.040038450225491434,0.2427570829561715,不显著
20050426,-0.06817751021225726,0.046653810397929436,负显著
20050427,0.054267904682110485,0.11093390751253891,不显著
20050428,0.02492166766849577,0.4636375685576192,不显著
20050429,-0.015355521469256983,0.6430974425427933,不显著
20050509,0.02506599133190271,0.44442896251516717,不显著
20050510,-0.033880772637680696,0.3051590061261121,不显著
20050511,-0.0546885256098568,0.0948460636592454,不显著
20050512,-0.02457075444166199,0.45813026646584587,不显著
20050513,0.011393966923793034,0.7245409373037309,不显著
20050516,-0.012579031329378435,0.7024064011151325,不显著
20050517,0.08504049314789604,0.00824842969299548,正显著
20050518,-0.09941090198263179,0.0024442722833221205,负显著
20050519,-0.011909923932284959,0.7168078939651533,不显著
20050520,0.007996937658811926,0.8079868176996401,不显著
20050523,0.029328673832074183,0.37267971136266687,不显著
20050524,-0.007405800650624745,0.823552671071389,不显著
20050525,-0.01212476684907377,0.7126679760511005,不显著
20050526,-0.061488062428916204,0.06843613752786884,不显著
20050527,0.003418989534891977,0.9185987762364489,不显著
20050530,0.02014502237567352,0.5425719863544913,不显著
20050531,-0.00651210344881697,0.8401358240550335,不显著
20050601,-0.05751142981721758,0.07006172504050016,不显著
20050602,0.04075485223244481,0.19965658765742578,不显著
20050603,0.15280744167219823,1.5605981328382445e-06,正显著
20050606,0.03153717958158449,0.31935017345964234,不显著
20050607,0.07217121858740262,0.023013776366991135,正显著
20050608,-0.023277045871360386,0.4664742560502154,不显著
20050609,-0.09286844601946785,0.0036683846354403186,负显著
20050610,-0.1291558789966151,6.0934681691526466e-05,负显著
20050613,-0.1365556983642748,1.455255649108987e-05,负显著
20050614,0.08271157527184453,0.009403273359794717,正显著
20050615,0.014193499422944266,0.6560536560993697,不显著
20050616,-0.09833067512747468,0.002399612932361212,负显著
20050617,0.06474948154688467,0.04636904254772342,正显著
20050620,0.017264687033908238,0.5952858267112541,不显著
20050621,-0.04468660662798858,0.16719224111935052,不显著
20050622,0.032196169405015296,0.3197566286306385,不显著
20050623,0.06724180631386016,0.03784607722061369,正显著
20050624,0.022237831857796944,0.5104910409763619,不显著
20050627,-0.0019449099601602136,0.9543451314476683,不显著
20050628,-0.05214985912090029,0.12581377424419118,不显著
20050629,-0.01962291013270624,0.5528681630549372,不显著
20050630,0.03222412128897637,0.32111746475395936,不显著
20050701,0.020588330697009508,0.522734674697611,不显著
20050704,-0.060079289268432416,0.06675263577811003,不显著
20050705,-0.03553098469442257,0.2667153674982546,不显著
20050706,-0.02035600893478427,0.5202402968715396,不显著
20050707,0.06981091233469179,0.028460005039480398,正显著
20050708,0.027790664765744013,0.3845806256303098,不显著
20050711,-0.052225642141649396,0.10861912005353169,不显著
20050712,-0.013229255629015616,0.6839939854119463,不显著
20050713,0.025605713742849794,0.4319780227213976,不显著
20050714,-0.025109902970929868,0.44192185516995186,不显著
20050715,-0.02585688728986044,0.42092362270921346,不显著
20050718,0.10414614282477948,0.0012029497390461383,正显著
20050719,-0.01755097475798402,0.5847063217641671,不显著
20050720,0.024020292200233995,0.45028801502112736,不显著
20050721,0.035272897486774944,0.2665588460907593,不显著
20050722,0.0009697970770192995,0.9760099995129977,不显著
20050725,0.0014438994673453055,0.964251505730076,不显著
20050726,0.052322205412970196,0.10852875818265897,不显著
20050727,-0.005231093329408285,0.8758134027302644,不显著
20050728,-0.05629268079689358,0.08671790993166695,不显著
20050729,-0.06323981811201149,0.05049447968709765,不显著
20050801,0.040714393503795535,0.20992576955028172,不显著
20050802,-0.033486716429592306,0.302512591519803,不显著
20050803,0.07017187380300648,0.03332477790775782,正显著
20050804,-0.07809812247938497,0.015888650955116757,负显著
20050805,-0.018588275192887728,0.570461310731784,不显著
20050808,0.06682693104979003,0.046998149532050955,正显著
20050809,-0.07675236215408963,0.019497234074245272,负显著
20050810,-0.0686373862038492,0.038227667977333846,负显著
20050811,-0.001282623948933146,0.9692634041961339,不显著
20050812,-0.05442814268043734,0.10824557776848533,不显著
20050815,-0.02899828460744202,0.3880859307197144,不显著
20050816,-0.030397547679369398,0.36343591581257306,不显著
20050817,-0.1270321046719063,0.00020644072707915796,负显著
20050818,-0.006226810255189446,0.8504762934331653,不显著
20050819,-0.06903771569365845,0.03608664553663024,负显著
20050822,-0.08550532188870419,0.0104932274321065,负显著
20050823,-0.00316297835123912,0.9228074570184783,不显著
20050824,0.06402584830525813,0.054044008360643304,不显著
20050825,-0.11449988689930261,0.0004949545332621195,负显著
20050826,0.03530747944848717,0.28313708970888035,不显著
20050829,-0.18239065782031105,2.0854653188845697e-08,负显著
20050830,-0.05457759496533499,0.08374821639036568,不显著
20050831,-0.05626837341861383,0.07575444592386717,不显著
20050901,-0.04044418482625029,0.2063340683707379,不显著
20050902,-0.07218076178833614,0.02292658748412383,负显著
20050905,-0.07887280756617948,0.012334136582308553,负显著
20050906,0.10249870784183797,0.0011062099321996186,正显著
20050907,-0.10125845909921152,0.0012503489631485005,负显著
20050908,-0.024467204673233406,0.44821180509402503,不显著
20050909,-0.14019318191348346,9.342114025073334e-06,负显著
20050912,-0.0027833664555473887,0.9315084096428257,不显著
20050913,-0.046486338364137646,0.14966086741111953,不显著
20050914,-0.06825377816280687,0.03552735478831896,负显著
20050915,-0.11190478964551562,0.0007502313530216032,负显著
